11;2;10;1;14;5;0;13;15;4;7;6;3;12;9;16;8,(11, 0);(2, 192.37463450257678);(10, 347.01292212889524);(1, 448.03272216829345);(14, 484.1575059046703);(5, 5064.175955649169);(0, 1009662.4264925381);(13, 2009681.4001584991);(15, 3009720.51537293);(4, 4009749.92625527);(7, 5009771.139458706);(6, 6009814.556045398);(3, 7009870.636344969);(12, 8009969.994283756);(9, 9010026.288155537);(16, 10010054.448411217);(8, 11010087.584494269),11010087.584494269
14;2;10;4;11;1;16;3;13;0;15;7;6;9;12;8;5,(14, 0);(2, 138.75518008348374);(10, 293.39346770980217);(4, 308.69052625058055);(11, 353.28873249253604);(1, 453.7277687284538);(16, 555.320091273024);(3, 662.0534037860347);(13, 731.4291920698445);(0, 1000750.4028580309);(15, 2000771.6160614665);(7, 3000820.8603504756);(6, 4000864.276937168);(9, 5000992.276937168);(12, 6001048.570808948);(8, 7001136.491227509);(5, 8005871.491649896),8005871.491649896
2;1;10;13;11;4;15;6;3;9;8;12;16;0;14;7;5,(2, 0);(1, 119.23086848631104);(10, 220.25066852570927);(13, 288.63455013932105);(11, 382.0261985882054);(4, 426.62440483016087);(15, 456.03528716986636);(6, 532.5728596424761);(3, 588.653159213716);(9, 667.5011141650018);(8, 728.7954858478896);(12, 1000816.7159044092);(16, 2000882.3207822766);(0, 3000997.2859944063);(14, 4001060.886308871);(7, 5001126.491186739);(5, 6005666.658694662),6005666.658694662
11;1;12;14;6;7;4;15;0;3;8;16;9;2;13;10;5,(11, 0);(1, 100.43903623591775);(12, 343.2128286885404);(14, 447.2320576801072);(6, 482.4030684702451);(7, 525.81965516243);(4, 547.0328585980265);(15, 576.443740937732);(0, 597.6569443733283);(3, 670.6569443733283);(8, 810.2921834786487);(16, 1000843.4282665302);(9, 2000871.5885222107);(2, 3000916.510677101);(13, 4001022.7650887743);(10, 5001071.148970388);(5, 6005641.504427023),6005641.504427023
12;2;1;10;11;14;4;15;0;13;3;9;8;16;6;7;5,(12, 0);(2, 69.20260110718382);(1, 189.43346959349486);(10, 290.45326963289307);(11, 348.0813877697887);(14, 412.74204041109755);(4, 484.25427712622206);(15, 513.6651594659276);(0, 534.878362901524);(13, 553.8520288625343);(3, 623.2278171463441);(9, 702.07577209763);(8, 763.3701437805178);(16, 1000796.506226832);(6, 2000952.5350703194);(7, 3000995.9516570116);(5, 4005536.1191649344),4005536.1191649344
3;1;2;10;4;11;14;6;15;13;16;8;9;12;0;7;5,(3, 0);(1, 15.0);(2, 134.23086848631104);(10, 288.8691561126295);(4, 304.1662146534079);(11, 348.7644208953634);(14, 413.42507353667224);(6, 449.59608432681017);(15, 526.13365679942);(13, 565.2488712306359);(16, 661.3997942631269);(8, 694.5358773146886);(9, 755.8302489975764);(12, 1000812.1241207777);(0, 2000876.1943946963);(7, 3000934.8885170594);(5, 4005475.0560249826),4005475.0560249826
