4;1;3;0;11;2;18;9;6;15;5;14;10;8;16;7;12;13;17,[4, 0];[1, 43.65176549845404];[3, 304.8318375272656];[0, 310.7081880674817];[11, 316.0612598842849];[2, 323.91766189660564];[18, 534.1340815409912];[9, 539.5318736544554];[6, 546.6568592375812];[15, 551.963628321355];[5, 557.8221185580312];[14, 563.5684465792734];[10, 569.4571263162877];[8, 577.146564952537];[16, 582.7377328878189];[7, 605.656551284849];[12, 7811.048503931123];[13, 15017.732131927161];[17, 22263.31669566652],22263.31669566652
4;2;1;6;17;0;11;5;16;15;18;9;10;14;3;8;7;12;13,[4, 0];[2, 45.9859408862011];[1, 52.41728384522044];[6, 245.15438259350418];[17, 289.42724395264435];[0, 334.44806679203623];[11, 339.80113860883944];[5, 454.9847767665919];[16, 460.3378485833951];[15, 466.2509240633378];[18, 472.7225776451598];[9, 491.1203697586239];[10, 517.856196549535];[14, 539.7448762865492];[3, 550.5777188829935];[8, 561.6145891294132];[7, 609.1357966527287];[12, 7814.527749299003];[13, 15021.211377295042],15021.211377295042
1;2;18;11;17;4;12;0;13;5;15;6;16;9;10;14;3;8;7,[1, 0];[2, 7.43134295901934];[18, 214.6477626034049];[11, 221.37862025648712];[17, 266.24449970733303];[4, 274.0314325580688];[12, 322.48342027936764];[0, 328.4177918866805];[13, 464.1869428340823];[5, 470.47196141527075];[15, 476.33045165194693];[6, 481.6372207357208];[16, 487.450894839098];[9, 499.4170820364761];[10, 516.1529088273871];[14, 541.0415885644014];[3, 551.8744311608457];[8, 561.9113014072653];[7, 609.4325089305809],609.4325089305809
1;2;18;11;17;4;12;0;13;15;5;16;6;9;10;3;14;8;7,[1, 0];[2, 7.43134295901934];[18, 214.6477626034049];[11, 221.37862025648712];[17, 266.24449970733303];[4, 274.0314325580688];[12, 322.48342027936764];[0, 328.4177918866805];[13, 464.1869428340823];[15, 470.4356730740771];[5, 476.2941633107533];[16, 481.6472351275565];[6, 487.4609092309337];[9, 499.5858948140595];[10, 516.3217216049705];[3, 551.2682756860183];[14, 558.1011182824626];[8, 567.0141937624053];[7, 606.5354012857208],606.5354012857208
1;2;18;11;17;4;12;0;13;5;16;15;6;9;10;3;14;8;7,[1, 0];[2, 7.43134295901934];[18, 214.6477626034049];[11, 221.37862025648712];[17, 266.24449970733303];[4, 274.0314325580688];[12, 322.48342027936764];[0, 328.4177918866805];[13, 464.1869428340823];[5, 470.47196141527075];[16, 475.82503323207396];[15, 481.73810871201664];[6, 487.0448777957905];[9, 499.1698633789163];[10, 516.9056901698274];[3, 550.8522442508752];[14, 557.6850868473194];[8, 566.5981623272621];[7, 606.1193698505776],606.1193698505776
1;2;18;11;17;4;12;0;13;16;5;9;15;6;14;10;3;8;7,[1, 0];[2, 7.43134295901934];[18, 214.6477626034049];[11, 221.37862025648712];[17, 266.24449970733303];[4, 274.0314325580688];[12, 322.48342027936764];[0, 328.4177918866805];[13, 464.1869428340823];[16, 470.1462008773463];[5, 475.4992726941495];[9, 493.7484997632742];[15, 500.61793691842394];[6, 505.9247060021978];[14, 548.7843705299274];[10, 554.6730502669417];[3, 561.6196043479895];[8, 569.6564745944091];[7, 605.1776821177247],605.1776821177247
