4;8;11;16;10;2;18;9;15;6;7;1;3;13;14;0;5;12;17,[4, 0];[8, 286.73254786581566];[11, 295.1525444008585];[16, 6283.32442700666];[10, 13489.681022741259];[2, 20695.220304312574];[18, 27900.43672395696];[9, 35105.83451607042];[15, 42312.70395322557];[6, 49518.01072230935];[7, 56723.16257237706];[1, 63928.995155372715];[3, 71134.17522740153];[13, 78340.36799977592];[14, 85545.93069085132];[0, 92751.1584659529];[5, 99956.67967347622];[12, 107162.21506610817];[17, 114406.39551021162],114406.39551021162
2;9;11;17;4;6;7;3;15;12;5;16;14;13;0;8;10;18;1,[2, 0];[9, 252.23185123548413];[11, 259.3197896665677];[17, 310.1856691174136];[4, 7515.972601968149];[6, 14759.520581729006];[7, 21964.67243179672];[3, 29170.34566468473];[15, 36375.605368257995];[12, 43581.38160658502];[5, 50786.91699921698];[16, 57992.27007103378];[14, 65197.73964143512];[13, 72403.30233251052];[0, 79609.07148345791];[8, 86814.7760947708];[10, 94021.46553340706];[18, 101226.80359169854];[1, 108433.02318740735],108433.02318740735
17;1;11;16;6;10;14;9;7;8;5;0;15;3;12;13;2;18;4,[17, 0];[1, 94.37077970559352];[11, 125.58350239514212];[16, 624.7553850009438];[6, 630.569059104321];[10, 636.9624437985392];[14, 643.8511235355535];[9, 650.3582402387924];[7, 657.6282908283703];[8, 7863.149498351686];[5, 15068.404158657035];[0, 22273.925366180352];[15, 29479.6888753576];[3, 36684.94857893086];[12, 43890.98440622287];[13, 51097.668034218914];[2, 58303.49879773761];[18, 65508.71521738199];[4, 72753.48795411673],72753.48795411673
17;1;11;16;10;7;14;6;9;2;13;0;5;8;12;15;3;18;4,[17, 0];[1, 94.37077970559352];[11, 125.58350239514212];[16, 624.7553850009438];[10, 631.1119807355432];[7, 637.6485953814015];[14, 644.6541363941925];[6, 650.5138009219221];[9, 657.638786505048];[2, 7862.870637740532];[13, 15068.701401259226];[0, 22274.47055220663];[5, 29479.991759729943];[8, 36685.24642003529];[12, 43890.52770153622];[15, 51096.303939863246];[3, 58301.56364343651];[18, 65507.844955711575];[4, 72752.6176924463],72752.6176924463
2;9;17;11;5;1;0;18;15;6;16;8;7;10;14;3;12;13;4,[2, 0];[9, 252.23185123548413];[17, 307.0300553190734];[11, 361.89593476991934];[5, 489.0795729276718];[1, 495.3377884226043];[0, 502.36390057849184];[18, 509.7440351778866];[15, 517.2156887597087];[6, 529.5224578434825];[16, 552.3361319468597];[8, 561.9272998821416];[7, 575.4485074054571];[10, 590.9851220513154];[14, 612.8738017883297];[3, 7818.706644384774];[12, 15024.742471676785];[13, 22231.426099672826];[4, 29476.289363583284],29476.289363583284
4;1;14;11;17;13;18;0;15;5;6;9;7;16;8;10;2;3;12,[4, 0];[1, 93.65176549845404];[14, 252.60627937033323];[11, 258.18711828526256];[17, 309.05299773610847];[13, 499.63756147546684];[18, 507.4251350393015];[0, 513.8052696386962];[15, 520.5687788159427];[5, 526.4272690526188];[6, 536.0765279857757];[9, 546.2015135689015];[7, 571.4715641584794];[16, 578.3903825555095];[8, 584.9815504907914];[10, 596.6709891270407];[2, 7802.210270698355];[3, 15008.696007410454];[12, 22214.731834702463],22214.731834702463
2;18;11;17;13;1;0;15;9;5;6;7;8;16;3;10;14;12;4,[2, 0];[18, 257.2164196443856];[11, 263.94727729746785];[17, 312.81315674831376];[13, 526.3977204876721];[1, 532.6435043106328];[0, 538.6696164665203];[15, 544.4331256437667];[9, 552.3025627989165];[5, 559.5517898680412];[6, 565.201048801198];[7, 576.3528988689131];[8, 582.8741063922287];[16, 588.4652743275105];[3, 616.5369340589137];[10, 622.4834881399615];[14, 631.3721678769758];[12, 7837.493316117659];[4, 15080.945303838958],15080.945303838958
2;18;11;17;13;0;5;15;1;9;6;8;16;7;10;3;14;12;4,[2, 0];[18, 257.2164196443856];[11, 263.94727729746785];[17, 312.81315674831376];[13, 526.3977204876721];[0, 532.1668714350739];[5, 537.6880789583894];[15, 543.5465691950656];[1, 548.9802400682513];[9, 556.5865974052888];[6, 563.7115829884146];[8, 571.2272308058195];[16, 577.8183987411014];[7, 586.7372171381315];[10, 598.2738317839899];[3, 617.2203858650378];[14, 627.053228461482];[12, 7833.174376702164];[4, 15076.626364423464],15076.626364423464
4;1;12;11;17;13;5;15;0;18;6;7;9;16;8;10;14;3;2,[4, 0];[1, 93.65176549845404];[12, 245.8575162335791];[11, 251.54933037687917];[17, 305.41520982772505];[13, 475.9997735670834];[5, 482.2847921482719];[15, 494.14328238494807];[0, 500.90679156219454];[18, 508.2869261615893];[6, 526.0156593210174];[7, 580.1675093887326];[9, 587.4375599783104];[16, 594.4037471756885];[8, 599.9949151109704];[10, 608.6843537472197];[14, 620.573033484234];[3, 7826.405876080678];[2, 15032.891612792777],15032.891612792777
2;12;11;17;13;15;5;0;18;1;6;9;16;8;7;10;3;14;4,[2, 0];[12, 247.30941938178364];[11, 253.0012335250837];[17, 305.8671129759296];[13, 479.451676715288];[15, 492.7004069552828];[5, 498.558897191959];[0, 505.0801047152745];[18, 512.4602393146693];[1, 518.6798350234876];[6, 530.4169337717714];[9, 541.5419193548972];[16, 557.5081065522753];[8, 566.0992744875572];[7, 577.6204820108727];[10, 592.157096656731];[3, 616.1036507377789];[14, 625.9364933342232];[4, 7870.332648340699],7870.332648340699
4;11;12;17;13;5;1;0;18;15;9;6;7;16;8;10;3;14;2,[4, 0];[11, 164.13811774628178];[12, 244.82993188958184];[17, 302.01037599302407];[13, 456.59493973238244];[5, 462.8799583135709];[1, 471.13817380850344];[0, 483.16428596439096];[18, 494.5444205637857];[15, 504.0160741456077];[9, 527.8855113007575];[6, 538.0104968838833];[7, 570.1623469515985];[16, 577.0811653486286];[8, 583.6723332839105];[10, 596.3617719201598];[3, 617.3083260012077];[14, 627.1411685976519];[2, 7833.416731762995],7833.416731762995
4;1;12;11;17;13;5;15;0;18;6;8;9;16;7;10;3;14;2,[4, 0];[1, 93.65176549845404];[12, 245.8575162335791];[11, 251.54933037687917];[17, 305.41520982772505];[13, 475.9997735670834];[5, 482.2847921482719];[15, 494.14328238494807];[0, 500.90679156219454];[18, 508.2869261615893];[6, 526.0156593210174];[8, 549.5313071384223];[9, 557.9140108365699];[16, 567.880198033948];[7, 578.7990164309781];[10, 593.3356310768364];[3, 616.2821851578842];[14, 626.1150277543285];[2, 7832.390590919672],7832.390590919672
