4;2;1;3;11;0;14;13;18;10;9;6;7;15;12;8;5;16;17,[4, 0];[2, 45.9859408862011];[1, 52.41728384522044];[3, 304.59735587403196];[11, 310.63755654737815];[0, 315.99062836418136];[14, 5036.218403465754];[13, 12241.781094541157];[18, 19447.568668104992];[10, 26652.906726396475];[9, 33858.64255318738];[6, 41065.76753877051];[7, 48270.91938883822];[15, 55476.341609856114];[12, 62682.11784818314];[8, 69887.39912968407];[5, 77092.65378998942];[16, 84298.00686180622];[17, 91543.03259971856],91543.03259971856
1;2;18;11;17;4;12;0;14;16;5;8;6;7;3;15;10;13;9,[1, 0];[2, 7.43134295901934];[18, 214.6477626034049];[11, 221.37862025648712];[17, 266.24449970733303];[4, 274.0314325580688];[12, 322.48342027936764];[0, 328.4177918866805];[14, 5778.645566988253];[16, 12984.115137389588];[5, 20189.468209206392];[8, 27394.72286951174];[6, 34600.23851732915];[7, 41805.39036739686];[3, 49011.06360028487];[15, 56216.32330385813];[10, 63422.45691572075];[13, 70628.13271250082];[9, 77834.18817971044],77834.18817971044
1;2;9;17;0;11;5;18;6;15;16;8;10;7;14;13;12;3;4,[1, 0];[2, 7.43134295901934];[9, 245.66319419450346];[17, 291.46139827809276];[0, 336.48222111748464];[11, 341.83529293428785];[5, 447.0189310920403];[18, 453.903111428529];[6, 460.63184458795706];[15, 465.93861367173093];[16, 471.8516891516736];[8, 687.4428570869554];[10, 694.1322957232047];[7, 700.668910369063];[14, 706.674451381854];[13, 7912.237142457257];[12, 15118.920770453296];[3, 22324.956597745306];[4, 29568.632086357713],29568.632086357713
4;1;3;11;0;2;18;5;6;15;9;14;10;8;16;7;12;13;17,[4, 0];[1, 43.65176549845404];[3, 304.8318375272656];[11, 310.87203820061177];[0, 316.225110017415];[2, 323.7284448606612];[18, 535.9448645050468];[5, 542.8290448415355];[6, 548.4783037746923];[15, 553.7850728584662];[9, 560.6545100136159];[14, 567.1616267168548];[10, 573.0503064538691];[8, 580.7397450901184];[16, 586.3309130254003];[7, 606.2497314224304];[12, 7811.641684068704];[13, 15018.325312064742];[17, 22263.9098758041],22263.9098758041
4;1;3;0;11;2;18;9;15;6;16;5;14;8;10;7;12;13;17,[4, 0];[1, 43.65176549845404];[3, 304.8318375272656];[0, 310.7081880674817];[11, 316.0612598842849];[2, 323.91766189660564];[18, 534.1340815409912];[9, 539.5318736544554];[15, 546.4013108096051];[6, 551.7080798933789];[16, 557.5217539967562];[5, 562.8748258135594];[14, 568.6211538348016];[8, 575.5342293147443];[10, 582.2236679509936];[7, 605.7602825968519];[12, 7811.152235243126];[13, 15017.835863239165];[17, 22263.420426978522],22263.420426978522
4;1;3;0;11;2;18;10;6;5;15;14;16;9;8;7;12;13;17,[4, 0];[1, 43.65176549845404];[3, 304.8318375272656];[0, 310.7081880674817];[11, 316.0612598842849];[2, 323.91766189660564];[18, 534.1340815409912];[10, 539.4721398324757];[6, 545.8655245266939];[5, 551.5147834598507];[15, 557.3732736965269];[14, 563.1624011121113];[16, 568.6319715134464];[9, 575.5981587108245];[8, 583.980862408972];[7, 605.5020699322876];[12, 7810.894022578562];[13, 15017.5776505746];[17, 22263.162214313958],22263.162214313958
17;1;3;0;11;2;18;10;9;6;14;15;8;16;5;7;12;13;4,[17, 0];[1, 44.37077970559351];[3, 304.55085173440506];[0, 310.42720227462115];[11, 315.78027409142436];[2, 323.6366761037451];[18, 537.8530957481307];[10, 543.1911540396152];[9, 548.9269808305262];[6, 556.051966413652];[14, 561.9116309413816];[15, 567.700758356966];[8, 574.4883319208008];[16, 580.0794998560826];[5, 585.4325716728858];[7, 606.1371829857708];[12, 7811.529135632045];[13, 15018.212763628084];[4, 22263.076027538544],22263.076027538544
4;1;3;0;11;2;18;9;15;10;14;5;16;8;6;7;12;13;17,[4, 0];[1, 43.65176549845404];[3, 304.8318375272656];[0, 310.7081880674817];[11, 316.0612598842849];[2, 323.91766189660564];[18, 534.1340815409912];[9, 539.5318736544554];[15, 546.4013108096051];[10, 552.5349226722248];[14, 559.423602409239];[5, 565.1699304304813];[16, 570.5230022472845];[8, 577.1141701825663];[6, 582.6298179999712];[7, 604.7816680676864];[12, 7810.17362071396];[13, 15016.85724871];[17, 22262.441812449357],22262.441812449357
1;2;18;11;17;4;12;0;13;6;5;16;15;9;10;3;14;8;7,[1, 0];[2, 7.43134295901934];[18, 214.6477626034049];[11, 221.37862025648712];[17, 266.24449970733303];[4, 274.0314325580688];[12, 322.48342027936764];[0, 328.4177918866805];[13, 464.1869428340823];[6, 470.5774803439244];[5, 476.22673927708115];[16, 481.57981109388436];[15, 487.49288657382704];[9, 499.3623237289768];[10, 517.0981505198878];[3, 551.0447046009356];[14, 557.8775471973798];[8, 566.7906226773225];[7, 606.311830200638],606.311830200638
1;2;18;11;17;4;12;0;13;5;15;16;6;9;10;3;14;8;7,[1, 0];[2, 7.43134295901934];[18, 214.6477626034049];[11, 221.37862025648712];[17, 266.24449970733303];[4, 274.0314325580688];[12, 322.48342027936764];[0, 328.4177918866805];[13, 464.1869428340823];[5, 470.47196141527075];[15, 476.33045165194693];[16, 482.2435271318896];[6, 488.0572012352668];[9, 500.1821868183926];[10, 516.9180136093037];[3, 550.8645676903516];[14, 557.6974102867958];[8, 566.6104857667385];[7, 606.131693290054],606.131693290054
