2;1;3;11;10;12;4;0;14;16;5;8;7;15;6;9;13,[2, 0];[1, 1.4313429590193403];[3, 299.61141498783087];[11, 300.64724227984095];[10, 301.339056423141];[12, 302.4458444732362];[4, 303.7308630544247];[0, 321.2520705777402];[14, 326.0155797549867];[16, 329.4872333368087];[5, 353.2159664962368];[8, 368.3409520793626];[7, 378.7236557775102];[15, 404.3148237127921];[6, 408.2336421098222];[9, 417.7702567556805];[13, 489.65893649269475],489.65893649269475
2;1;5;12;11;10;4;6;14;0;16;9;15;7;8;13;3,[2, 0];[1, 1.4313429590193403];[5, 240.16844170730306];[12, 241.55897921714518];[11, 243.2426072131843];[10, 243.93442135648436];[4, 250.11805951423682];[6, 295.8226708271218];[14, 312.2448918450106];[0, 322.0084010222571];[16, 326.38853562165184];[9, 424.7265939131363];[15, 427.0831896477357];[7, 427.6743575830176];[8, 430.0570612811652];[13, 471.56417798440407];[3, 475.3970205808484],475.3970205808484
1;2;9;11;12;4;10;15;8;16;0;6;5;14;7;13;3,[1, 0];[2, 1.4313429590193403];[9, 239.97062453033305];[11, 241.7843431231073];[12, 243.46797111914643];[4, 250.75298970033487];[10, 250.93662785808732];[15, 437.10851046388893];[8, 439.074697661267];[16, 439.4724897747311];[0, 440.85262437412587];[6, 441.7354467660034];[5, 441.88729683371855];[14, 442.1940659174924];[7, 442.9816394813271];[13, 463.89471496126976];[3, 470.7275575577141],470.7275575577141
1;2;16;10;4;11;12;13;3;14;0;5;6;7;8;15;9,[1, 0];[2, 1.4313429590193403];[16, 209.6477626034049];[10, 211.37862025648712];[4, 241.56225841423958];[11, 242.09765104619584];[12, 243.78127904223496];[13, 252.3439701176375];[3, 320.1768127140818];[14, 324.4365162873445];[0, 328.20002546459096];[5, 351.950109467079];[6, 395.10195953479416];[7, 396.6231670581097];[8, 399.0058707562573];[15, 407.9720579536354];[9, 417.3286536882348],417.3286536882348
1;2;8;12;10;11;13;4;3;14;16;0;7;5;6;15;9,[1, 0];[2, 1.4313429590193403];[8, 239.66319419450346];[12, 240.7186614041233];[10, 241.8254494542185];[11, 242.51726359751856];[13, 251.63841183820145];[4, 255.3847398594437];[3, 324.46450489290197];[14, 327.72420846616467];[16, 331.1958620479867];[0, 334.57599664738143];[7, 374.28060796026637];[5, 375.79625577767126];[6, 391.9481058453864];[15, 403.86692424241653];[9, 416.22351997701594],416.22351997701594
2;1;9;11;10;12;4;13;3;16;14;0;5;8;7;6;15,[2, 0];[1, 1.4313429590193403];[9, 240.32793370811117];[11, 242.14165230088543];[10, 242.8334664441855];[12, 243.94025449428068];[4, 251.22527307546912];[13, 265.97160109671137];[3, 344.8044436931557];[16, 346.08575596822186];[14, 347.5574095500439];[0, 348.32091872729035];[5, 357.0710027297784];[8, 369.1959883129042];[7, 379.57869201105177];[6, 393.0998995343673];[15, 404.0187179313974],404.0187179313974
1;2;4;10;15;11;12;13;9;3;14;5;0;16;7;8;6,[1, 0];[2, 1.4313429590193403];[4, 121.44975682733177];[10, 121.63339498508421];[15, 239.80527759088585];[11, 240.66494211861541];[12, 242.34857011465454];[13, 250.91126119005708];[9, 273.7999409270713];[3, 365.74649500811915];[14, 366.00619858138185];[5, 368.3129676651557];[0, 369.0630516676438];[16, 370.4431862670385];[7, 379.4463701214074];[8, 383.82907381955505];[6, 397.09912440913286],397.09912440913286
