1;3;11;16;18;2;9;10;14;0;13;6;7;15;8;12;5;4;17,[1, 0];[3, 305.18007202881154];[11, 314.22027270215773];[16, 1355.3921553079592];[18, 8562.014225734605];[2, 15767.23064537899];[9, 22972.462496614473];[10, 30178.198323405384];[14, 37384.0870031424];[0, 44589.31477824397];[13, 51795.08392919137];[6, 59001.47446670121];[7, 66206.62631676893];[15, 73412.04853778682];[8, 80617.83611135065];[12, 87823.1173928516];[5, 95028.65278548354];[4, 102272.63994659827];[17, 109478.426879449],109478.426879449
2;10;13;17;11;16;0;14;3;18;9;1;7;6;15;8;12;5;4,[2, 0];[10, 245.53928157131372];[13, 251.21507835138755];[17, 297.7996420907459];[11, 344.66552154159183];[16, 1159.8374041473935];[0, 8365.092064452743];[14, 15570.319839554315];[3, 22776.152682150758];[18, 29982.433994425824];[9, 37187.83178653929];[1, 44394.43814387632];[7, 51600.270726871975];[6, 58805.42257693969];[15, 66010.72934602347];[8, 73216.5169195873];[12, 80421.79820108824];[5, 87627.33359372019];[4, 94871.32075483492],94871.32075483492
2;1;3;11;13;6;5;16;0;14;18;10;7;15;8;12;9;4;17,[2, 0];[1, 29.43134295901934];[3, 304.61141498783087];[11, 313.65161566117706];[13, 336.75840371127225];[6, 1110.1489412211145];[5, 8315.798200154271];[16, 15521.151271971074];[0, 22726.405932276422];[14, 29931.633707377994];[18, 37137.7879801635];[10, 44343.12603845498];[7, 51549.66265310084];[15, 58755.08487411872];[8, 65960.87244768256];[12, 73166.1537291835];[9, 80373.68503496944];[4, 87618.7702316548];[17, 94824.55716450553],94824.55716450553
2;1;3;11;5;18;0;15;6;9;7;8;16;14;10;12;13;4;17,[2, 0];[1, 29.43134295901934];[3, 304.61141498783087];[11, 313.65161566117706];[5, 389.8352538189295];[18, 464.7194341554182];[0, 472.09956875481294];[15, 480.8630779320594];[6, 495.1698470158333];[9, 508.2948325989591];[7, 523.5648831885369];[8, 533.0860907118524];[16, 540.6772586471343];[14, 597.1468290484694];[10, 603.0355087854837];[12, 7809.849227378258];[13, 15016.532855374297];[4, 22261.396119284756];[17, 29467.183052135493],29467.183052135493
4;1;11;8;5;6;0;18;15;9;16;7;10;3;14;13;2;12;17,[4, 0];[1, 66.65176549845404];[11, 125.86448818800264];[8, 430.28448472304547];[5, 435.5391450283948];[6, 501.18840396155156];[0, 506.9384879640396];[18, 513.3186225634344];[15, 519.7902761452564];[9, 527.6597133004061];[16, 537.6259004977842];[7, 545.5447188948143];[10, 562.0813335406726];[3, 584.0278876217205];[14, 596.8607302181648];[13, 832.4234212935673];[2, 8038.254184812261];[12, 15245.563604194045];[17, 22489.744048297485],22489.744048297485
17;11;16;5;0;15;1;18;8;6;9;7;10;14;3;13;2;12;4,[17, 0];[11, 164.86587945084588];[16, 467.03776205664747];[5, 472.3908338734507];[0, 478.9120413967662];[15, 486.6755505740127];[1, 492.1092214471985];[18, 498.32881715601684];[8, 521.3320010103857];[6, 527.8476488277906];[9, 535.9726344109165];[7, 545.2426850004944];[10, 561.7792996463527];[14, 588.667979383367];[3, 598.5008219798112];[13, 826.693594354205];[2, 8032.524357872899];[12, 15239.833777254682];[4, 22483.285764975983],22483.285764975983
2;8;13;17;11;5;0;1;18;15;9;6;7;16;10;14;3;12;4,[2, 0];[8, 247.15515452106274];[13, 253.62680810288478];[17, 300.2113718422431];[11, 347.07725129308903];[5, 372.2608894508415];[0, 473.782096974157];[1, 479.80820913004453];[18, 487.0278048388629];[15, 494.4994584206849];[9, 507.36889557583464];[6, 516.4938811589604];[7, 526.6457312266756];[16, 535.5645496237057];[10, 557.9211453583051];[14, 588.8098250953194];[3, 598.6426676917637];[12, 722.6784949837738];[4, 7966.130482705073],7966.130482705073
4;2;11;17;13;5;0;1;18;15;7;6;8;9;16;10;3;14;12,[4, 0];[2, 220.9859408862011];[11, 227.84234289852185];[17, 278.70822234936776];[13, 328.29278608872613];[5, 376.5778046699146];[0, 465.0990121932301];[1, 472.12512434911764];[18, 479.344720057936];[15, 487.816373639758];[7, 512.2385946576468];[6, 519.3904447253619];[8, 530.9060925427668];[9, 539.2887962409144];[16, 547.2549834382925];[10, 562.6115791728919];[3, 583.5581332539398];[14, 597.390975850384];[12, 725.5121240910669],725.5121240910669
4;1;14;13;11;17;12;5;2;18;0;15;7;9;8;6;16;10;3,[4, 0];[1, 66.65176549845404];[14, 245.60627937033323];[13, 251.16897044573577];[11, 257.2757584958309];[17, 303.14163794667684];[12, 367.3220820501191];[5, 380.85747468207535];[2, 403.8758885503878];[18, 450.0923081947734];[0, 459.47244279416816];[15, 470.23595197141464];[7, 511.65817298930347];[9, 520.9282235788813];[8, 533.3109272770289];[6, 538.8265750944338];[16, 545.640249197811];[10, 561.9968449324105];[3, 583.9433990134582],583.9433990134582
4;1;14;11;13;17;12;5;2;0;15;18;6;7;9;8;16;10;3,[4, 0];[1, 66.65176549845404];[14, 245.60627937033323];[11, 251.18711828526253];[13, 258.2939063353577];[17, 304.87847007471606];[12, 370.0589141781583];[5, 382.5943068101146];[2, 404.61272067842697];[0, 438.1160555216732];[15, 458.8795646989197];[18, 468.3512182807417];[6, 491.0799514401698];[7, 512.2318015078849];[9, 521.5018520974628];[8, 533.8845557956104];[16, 541.4757237308922];[10, 559.8323194654917];[3, 582.7788735465394],582.7788735465394
4;1;11;14;13;17;12;5;2;18;0;15;6;9;16;8;7;10;3,[4, 0];[1, 66.65176549845404];[11, 125.86448818800264];[14, 257.44532710293197];[13, 264.0080181783345];[17, 309.5925819176929];[12, 378.77302602113514];[5, 389.3084186530914];[2, 407.32683252140384];[18, 448.54325216578945];[0, 457.9233867651842];[15, 469.6868959424307];[6, 489.99366502620455];[9, 505.11865060933036];[16, 521.0848378067084];[8, 531.6760057419903];[7, 539.1972132653058];[10, 559.7338279111641];[3, 582.680381992212],582.680381992212
