2;1;3;13;11;12;5;8;6;7;15;0;16;14;18;9;10;17;4,[2, 0];[1, 6.43134295901934];[3, 304.61141498783087];[13, 310.8041873622245];[11, 316.9109754123197];[12, 322.6027895556198];[5, 328.13818218757604];[8, 5422.392842492925];[6, 12627.90849031033];[7, 19833.060340378044];[15, 27038.482561395933];[0, 34244.24607057318];[16, 41449.50073087853];[14, 48654.97030127986];[18, 55861.12457406537];[9, 63066.52236617883];[10, 70272.25819296975];[17, 77517.47996605322];[4, 84723.26689890395],84723.26689890395
4;1;3;12;11;13;5;2;18;9;0;15;8;7;16;6;10;14;17,[4, 0];[1, 43.65176549845404];[3, 304.8318375272656];[12, 310.86766481927566];[11, 316.5594789625757];[13, 322.6662670126709];[5, 328.9512855938594];[2, 336.9696994621718];[18, 432.1861191065574];[9, 437.5839112200215];[0, 444.3188023971106];[15, 450.08231157435705];[8, 456.8698851381917];[7, 463.39109266150723];[16, 469.30991105853735];[6, 475.12358516191455];[10, 486.51696985613273];[14, 523.405649593147];[17, 7768.525564704393],7768.525564704393
4;1;7;13;11;12;17;5;2;0;15;18;9;6;16;8;10;3;14,[4, 0];[1, 43.65176549845404];[7, 245.48434849410347];[13, 252.0255051217616];[11, 258.13229317185676];[12, 263.8241073151568];[17, 308.0045514185991];[5, 354.72027004826623];[2, 361.7386839165786];[0, 370.2420187598249];[15, 384.00552793707135];[18, 391.47718151889336];[9, 436.87497363235747];[6, 443.9999592154833];[16, 452.81363331886047];[8, 458.40480125414234];[10, 488.0942398903917];[3, 514.0407939714396];[14, 521.8736365678839],521.8736365678839
4;1;11;16;13;12;17;5;2;0;18;15;6;9;8;7;10;3;14,[4, 0];[1, 43.65176549845404];[11, 125.86448818800264];[16, 246.03637079380428];[13, 251.9956288370683];[12, 258.67925683310744];[17, 302.8597009365497];[5, 350.57541956621685];[2, 357.59383343452924];[0, 368.0971682777755];[18, 380.47730287717025];[15, 389.94895645899226];[6, 430.2557255427661];[9, 438.3807111258919];[8, 449.7634148240395];[7, 458.284622347355];[10, 488.82123699321335];[3, 513.7677910742611];[14, 521.6006336707054],521.6006336707054
17;1;14;11;12;13;4;5;2;0;15;18;9;6;8;16;7;10;3,[17, 0];[1, 44.37077970559351];[14, 245.3252935774727];[11, 250.906132492402];[12, 256.5979466357021];[13, 263.28157463174125];[4, 309.1448385422003];[5, 355.13199965692667];[2, 362.15041352523906];[0, 370.6537483684853];[15, 384.4172575457318];[18, 391.8889111275538];[9, 436.2867032410179];[6, 443.4116888241437];[8, 450.9273366415486];[16, 457.5185045768305];[7, 464.4373229738606];[10, 484.9739376197189];[3, 516.9204917007668],516.9204917007668
17;1;15;11;14;13;12;4;5;2;0;18;6;7;9;16;8;10;3,[17, 0];[1, 44.37077970559351];[15, 184.80445057877932];[11, 190.653318263277];[14, 248.23415717820632];[13, 253.79684825360886];[12, 260.480476249648];[4, 304.93246397094686];[5, 351.9196250856732];[2, 358.9380389539856];[0, 368.44137379723185];[18, 380.8215083966266];[6, 460.5502415560547];[7, 466.70209162376983];[9, 473.97214221334764];[16, 480.9383294107257];[8, 486.5294973460076];[10, 494.21893598225694];[3, 512.1654900633048],512.1654900633048
17;1;15;11;14;13;12;4;5;2;0;18;6;9;8;16;7;10;3,[17, 0];[1, 44.37077970559351];[15, 184.80445057877932];[11, 190.653318263277];[14, 248.23415717820632];[13, 253.79684825360886];[12, 260.480476249648];[4, 304.93246397094686];[5, 351.9196250856732];[2, 358.9380389539856];[0, 368.44137379723185];[18, 380.8215083966266];[6, 460.5502415560547];[9, 467.6752271391805];[8, 475.0579308373281];[16, 480.64909877261];[7, 486.5679171696401];[10, 494.10453181549843];[3, 512.0510858965463],512.0510858965463
