2;1;10;4;11;12;5;15;6;9;16;8;0;13;3;14;7,[2, 0];[1, 119.23086848631104];[10, 220.25066852570927];[4, 256.5477270664876];[11, 301.1459333084431];[12, 441.3921453785022];[5, 557.2239199483498];[15, 625.002972759672];[6, 701.5405452322818];[9, 829.5405452322818];[16, 1000857.7008009129];[8, 2000890.8368839645];[0, 3001035.3533190163];[13, 4001054.3269849773];[3, 5001123.702773261];[14, 6001145.336080913];[7, 7001210.940958781],7001210.940958781
2;1;10;7;11;4;5;14;9;13;8;16;12;0;15;3;6,[2, 0];[1, 119.23086848631104];[10, 220.25066852570927];[7, 306.23637989478107];[11, 329.66712892250104];[4, 374.26533516445653];[5, 429.3486042964164];[14, 454.90246897477766];[9, 549.3323371309918];[13, 623.3593592242788];[8, 748.9021806040773];[16, 1000782.0382636556];[12, 2000847.643141523];[0, 3000911.7134154416];[15, 4000932.9266188773];[3, 5001022.195874503];[6, 6001078.276174074],6001078.276174074
1;2;10;4;11;14;5;6;0;3;9;8;12;16;13;15;7,[1, 0];[2, 119.23086848631104];[10, 273.8691561126295];[4, 289.1662146534079];[11, 333.7644208953634];[14, 399.42507353667224];[5, 424.9789382150335];[6, 437.62804885570705];[0, 511.16715409910796];[3, 584.167154099108];[9, 663.0151090503938];[8, 724.3094807332816];[12, 1000812.2298992946];[16, 2000877.834777162];[13, 3000973.9857001947];[15, 4001013.100914626];[7, 5001062.345203635],5001062.345203635
1;2;10;11;0;4;5;3;14;6;13;9;16;8;12;15;7,[1, 0];[2, 119.23086848631104];[10, 273.8691561126295];[11, 331.49727424952516];[0, 409.33042913868536];[4, 452.74701583087017];[5, 506.83028496283];[3, 554.000190623113];[14, 575.633498275897];[6, 610.8045090660349];[13, 694.5660754315227];[9, 768.5930975248097];[16, 1000796.7533532055];[8, 2000829.889436257];[12, 3000917.8098548185];[15, 4000997.7160498225];[7, 5001046.960338832],5001046.960338832
2;1;10;15;4;11;14;6;3;16;9;13;8;0;5;7;12,[2, 0];[1, 119.23086848631104];[10, 220.25066852570927];[15, 274.56848958898564];[4, 303.97937192869114];[11, 348.57757817064663];[14, 413.2382308119555];[6, 449.4092416020934];[3, 509.48954117333324];[16, 616.2228536863439];[9, 644.3831093670013];[13, 718.4101314602883];[8, 843.9529528400868];[0, 1000988.4693878917];[5, 2001050.951385299];[7, 3001093.904848489];[12, 4001216.493591855],4001216.493591855
2;1;10;15;4;11;0;5;7;6;14;9;13;12;16;8;3,[2, 0];[1, 119.23086848631104];[10, 220.25066852570927];[15, 274.56848958898564];[4, 303.97937192869114];[11, 348.57757817064663];[0, 426.41073305980683];[5, 488.89273046706006];[7, 531.8461936568891];[6, 575.262780349074];[14, 610.433791139212];[9, 704.8636592954261];[13, 778.8906813887131];[12, 1000825.7628479697];[16, 2000891.367725837];[8, 3000924.5038088886];[3, 4001064.139047994],4001064.139047994
1;2;10;11;4;0;6;5;14;3;13;9;8;16;12;15;7,[1, 0];[2, 119.23086848631104];[10, 273.8691561126295];[11, 331.49727424952516];[4, 376.09548049148066];[0, 419.51206718366547];[6, 494.0511724270664];[5, 506.7002830677399];[14, 532.2541477461012];[3, 553.8874553988852];[13, 623.263243682695];[9, 697.290265775982];[8, 758.5846374588698];[16, 1000791.7207205105];[12, 2000857.3255983777];[15, 3000937.2317933817];[7, 4000986.4760823906],4000986.4760823906
1;2;10;4;11;0;15;7;14;5;3;6;13;12;9;16;8,[1, 0];[2, 119.23086848631104];[10, 273.8691561126295];[4, 289.1662146534079];[11, 333.7644208953634];[0, 411.5975757845236];[15, 432.81077922012];[7, 482.0550682291005];[14, 547.6599460965274];[5, 573.2138107748887];[3, 620.3837164351717];[6, 676.4640160064115];[13, 760.2255823718992];[12, 1000807.0977489529];[9, 2000863.391620733];[16, 3000891.5518764136];[8, 4000924.687959465],4000924.687959465
2;1;10;15;4;11;0;7;14;6;5;3;13;9;16;8;12,[2, 0];[1, 119.23086848631104];[10, 220.25066852570927];[15, 274.56848958898564];[4, 303.97937192869114];[11, 348.57757817064663];[0, 426.41073305980683];[7, 485.1048554231236];[14, 550.7097332905505];[6, 585.8807440806885];[5, 598.529854721362];[3, 645.699760381645];[13, 715.0755486654548];[9, 789.1025707587418];[16, 1000817.2628264395];[8, 2000850.398909491];[12, 3000938.3193280525],3000938.3193280525
2;1;10;15;4;11;0;7;6;5;14;3;13;9;16;8;12,[2, 0];[1, 119.23086848631104];[10, 220.25066852570927];[15, 274.56848958898564];[4, 303.97937192869114];[11, 348.57757817064663];[0, 426.41073305980683];[7, 485.1048554231236];[6, 528.5214421153084];[5, 541.1705527559819];[14, 566.7244174343432];[3, 588.3577250871272];[13, 657.733513370937];[9, 731.760535464224];[16, 1000759.920791145];[8, 2000793.0568741965];[12, 3000880.977292758],3000880.977292758
