[1, 0];[2, 7.43134295901934];[18, 214.6477626034049];[4, 243.315749655774];[11, 266.5992045323071];[13, 277.7059925824023];[14, 2303.268683657805];[10, 722309.1573633947];[0, 1442315.2628485744];[16, 2162320.51750888];[12, 2882326.3771734075];[5, 3602331.9125660397];[8, 4322337.167226345];[6, 5042342.682874163];[15, 5762347.989643246];[3, 6482353.249346819];[9, 7202359.925640205];[17, 7922392.148613551];[7, 8642410.165696343],
[1, 0];[2, 7.43134295901934];[0, 185.93467780226558];[17, 210.062900116137];[11, 233.06309301633794];[13, 245.16988106643313];[4, 273.3360980884484];[12, 297.0964477287091];[6, 3234.5660181300445];[5, 723240.2152770632];[8, 1443245.4699373685];[15, 2163251.257510932];[3, 2883256.5172145055];[10, 3603262.4637685865];[9, 4323268.199595378];[18, 5043273.597387491];[14, 5763279.751660276];[16, 6483285.221230677];[7, 7203291.140049074],
[4, 0];[1, 20.25022768500341];[3, 304.430299713815];[11, 310.47050038716117];[2, 319.3269023994819];[18, 598.5433220438675];[10, 603.881380335352];[9, 609.617207126263];[14, 616.1243238295019];[6, 621.9839883572315];[15, 720627.290757441];[16, 1440633.2038329209];[5, 2160638.556904738];[8, 2880643.8115650434];[12, 3600649.0928465445];[0, 4320655.027218152];[13, 5040660.796369099];[17, 5760689.32545866];[7, 6480707.3425414525],
[17, 0];[1, 21.083549221348985];[6, 244.82064796963272];[11, 250.51992124114344];[12, 256.2117353844435];[4, 274.9720850247042];[2, 353.1285399065476];[0, 366.63187474979384];[18, 380.0120093491886];[5, 398.89618968567726];[16, 412.24926150248046];[15, 426.16233698242314];[8, 1448.9499105462578];[9, 721456.3326142444];[13, 1441462.3880814542];[3, 2161468.5808538287];[14, 2881474.413696425];[10, 3601480.3023761623];[7, 4321486.838990808],
[17, 0];[1, 21.083549221348985];[2, 34.51489218036832];[14, 245.79045534571185];[4, 270.5908481588748];[11, 293.8743030354079];[12, 318.56611717870794];[13, 407.2497451747471];[0, 413.0188961221488];[18, 419.39903072154357];[5, 426.28321105803224];[16, 431.63628287483544];[6, 437.44995697821264];[15, 443.7567260619865];[3, 1741.016429635249];[8, 721747.0532998816];[10, 1441753.742738518];[9, 2161759.4785653087];[7, 2881766.748615898],
[2, 0];[1, 6.43134295901934];[6, 245.16844170730306];[11, 250.86771497881378];[17, 273.86790787901475];[12, 297.155851453716];[13, 331.8394794497551];[5, 500.1244980309435];[16, 505.47756984774674];[15, 511.3906453276894];[18, 517.8622989095114];[9, 523.2600910229755];[0, 529.9949822000646];[10, 537.1004673797256];[14, 546.9891471167399];[3, 555.8219897131842];[8, 564.8588599596038];[4, 720585.5390403016];[7, 1440603.5561230946],
[4, 0];[1, 20.25022768500341];[16, 245.4847976856932];[12, 251.34446221342276];[11, 257.03627635672285];[13, 265.14306440681804];[17, 293.67215396752044];[2, 335.6863060988337];[18, 431.9027257432193];[6, 438.6314589026474];[15, 444.9382279864213];[0, 450.70173716366776];[5, 456.2229446869833];[9, 498.47217175610797];[10, 516.207998547019];[3, 551.1545526280668];[14, 557.987395224511];[8, 566.9004707044537];[7, 606.4216782277692],
[17, 0];[1, 21.083549221348985];[15, 188.5172200945348];[11, 194.36608777903245];[4, 217.64954265556557];[13, 267.81575967758084];[12, 277.49938767362];[2, 324.80880705540363];[18, 523.0252266997892];[5, 529.9094070362779];[6, 535.5586659694347];[10, 541.9520506636529];[14, 549.8407304006672];[0, 555.06850550224];[3, 561.9448560424561];[9, 568.6211494290745];[16, 575.5873366264526];[8, 582.1785045617345];[7, 604.69971208505],
[17, 0];[1, 21.083549221348985];[15, 188.5172200945348];[11, 194.36608777903245];[4, 217.64954265556557];[13, 267.81575967758084];[12, 277.49938767362];[2, 324.80880705540363];[18, 523.0252266997892];[16, 529.6472971264345];[10, 537.0038928610339];[9, 542.7397196519449];[0, 549.474610829034];[5, 554.9958183523495];[6, 560.6450772855063];[3, 567.2113426595794];[14, 573.0441852560236];[8, 579.9572607359663];[7, 604.4784682592818],
[17, 0];[1, 21.083549221348985];[15, 188.5172200945348];[11, 194.36608777903245];[4, 217.64954265556557];[13, 267.81575967758084];[12, 277.49938767362];[2, 324.80880705540363];[18, 523.0252266997892];[5, 529.9094070362779];[0, 535.4306145595934];[16, 540.6852748649427];[10, 547.0418705995421];[9, 552.7776973904531];[3, 561.4539907770716];[8, 569.4908610234912];[14, 575.4039365034339];[6, 581.2636010311635];[7, 604.4154510988786],
