[4, 0];[17, 5.026841665912969];[8, 258.483738259358];[12, 263.765019760291];[1, 269.97077049541605];[13, 276.2165543183767];[11, 282.3233423684719];[2, 289.17974438079267];[18, 307.3961640251783];[5, 318.28034436166695];[0, 324.8015518849825];[15, 339.56506106222895];[6, 346.8718301460028];[16, 361.68550424938];[9, 385.6516914467581];[10, 422.3875182376691];[14, 448.2761979746833];[3, 464.10904057112765];[7, 479.78227345913774],
[2, 0];[17, 29.6774565672537];[4, 80.70429823316667];[1, 102.17091738099599];[11, 125.38364007054459];[18, 219.1144977236268];[12, 246.2556981013794];[13, 252.93932609741853];[14, 266.50201717282107];[6, 330.36168170055066];[5, 337.01094063370743];[15, 347.8694308703836];[0, 353.6329400476301];[16, 364.8876003529794];[8, 413.4787682882613];[9, 422.8614719864089];[10, 437.5972987773199];[3, 459.54385285836776];[7, 477.21708574637785],
[2, 0];[17, 29.6774565672537];[5, 158.80180735254007];[11, 163.98544551029252];[1, 170.19816819984112];[4, 189.66478734767043];[16, 262.9900506739317];[12, 268.8497152016613];[13, 275.53334319770045];[14, 299.096034273103];[18, 313.25030705860706];[0, 321.6304416580018];[6, 335.38052566048987];[15, 346.6872947442637];[9, 379.5567318994134];[8, 418.939435597561];[10, 435.62887423381034];[3, 458.5754283148582];[7, 476.2486612028683],
[4, 0];[17, 5.026841665912969];[2, 73.70429823316667];[1, 84.135641192186];[11, 125.3483638817346];[16, 244.52024648753624];[12, 250.3799110152658];[13, 257.06353901130495];[14, 271.6262300867075];[18, 303.78050287221157];[5, 315.66468320870024];[0, 322.18589073201576];[6, 335.9359747345038];[15, 347.24274381827763];[9, 380.11218097342737];[8, 419.49488467157494];[10, 436.1843233078243];[3, 458.13087738887214];[7, 475.8041102768822],
[4, 0];[17, 5.026841665912969];[11, 141.10212346847513];[1, 147.31484615802373];[2, 153.74618911704306];[0, 247.2495239602893];[12, 253.18389556760215];[13, 259.86752356364127];[3, 320.060295938035];[18, 328.34160821310115];[5, 336.2257885495898];[6, 343.8750474827466];[15, 353.1818165665204];[16, 365.0948920464631];[9, 388.06107924384116];[8, 422.44378294198873];[10, 438.1332215782381];[14, 455.0219013152523];[7, 474.02744232804326],
[17, 0];[2, 68.6774565672537];[1, 81.10879952627303];[4, 109.57541867410235];[11, 141.91940748978593];[14, 245.50024640471526];[12, 251.62139464539814];[13, 258.3050226414373];[5, 290.5900412226257];[0, 305.1112487459412];[3, 360.9875992861573];[15, 367.24730285942];[16, 375.1603783393627];[18, 381.782448766008];[6, 388.51118192543606];[9, 402.63616750856187];[8, 429.0188712067095];[10, 441.70830984295884];[7, 466.24492448881716],
[1, 0];[17, 20.25712179100299];[4, 78.28396345691596];[11, 141.62795227259954];[2, 148.4843542849203];[18, 226.7007739293059];[12, 246.8419743070585];[13, 253.52560230309763];[14, 267.08829337850017];[3, 322.9211359749445];[5, 331.00090100840276];[6, 340.65015994155954];[0, 346.4002439440476];[15, 355.16375312129406];[16, 366.07682860123674];[9, 388.0430157986148];[8, 422.42571949676244];[10, 438.1151581330118];[7, 464.6517727788701],
[4, 0];[17, 5.026841665912969];[1, 84.28396345691596];[2, 95.71530641593529];[11, 126.57170842825604];[15, 199.4205761127537];[12, 245.1968144397802];[13, 251.88044243581933];[14, 265.4431335112219];[3, 322.2759761076662];[0, 329.1523266478823];[5, 335.67353417119784];[6, 344.3227931043546];[18, 351.0515262637827];[16, 364.673596690428];[9, 387.63978388780606];[8, 422.0224875859536];[10, 437.711926222203];[7, 464.2485408680613],
[4, 0];[17, 5.026841665912969];[11, 141.10212346847513];[2, 147.95852548079588];[1, 154.38986843981522];[15, 217.82353931300102];[14, 246.6126667285854];[13, 252.17535780398794];[12, 258.8589858000271];[3, 319.89481309203717];[18, 328.17612536710334];[6, 339.9048585265314];[0, 345.6549425290195];[5, 351.176150052335];[16, 363.5292218691382];[9, 386.4954090665163];[8, 421.8781127646639];[10, 437.56755140091326];[7, 464.1041660467716],
[4, 0];[17, 5.026841665912969];[2, 73.70429823316667];[1, 84.135641192186];[11, 125.3483638817346];[15, 199.19723156623226];[12, 244.97346989325877];[13, 251.6570978892979];[14, 265.21978896470046];[3, 322.0526315611447];[0, 328.9289821013608];[5, 335.45018962467634];[6, 344.0994485578331];[18, 350.8281817172612];[16, 364.4502521439065];[8, 413.04142007918836];[9, 422.4241237773359];[10, 437.1599505682469];[7, 463.69656521410525],
[4, 0];[17, 5.026841665912969];[11, 141.10212346847513];[2, 147.95852548079588];[1, 154.38986843981522];[10, 245.2864591889071];[12, 252.10017778168134];[13, 258.7838057777205];[14, 274.346496853123];[3, 328.17933944956735];[5, 335.2591044830256];[18, 342.1432848195143];[6, 349.8720179789424];[0, 355.62210198143043];[15, 363.3856111586769];[16, 372.2986866386196];[9, 392.26487383599766];[8, 423.6475775341453];[7, 456.1687850574608],
[17, 0];[2, 68.6774565672537];[1, 81.10879952627303];[4, 109.57541867410235];[11, 141.91940748978593];[10, 246.36682023939593];[12, 253.18053883217019];[13, 259.8641668282093];[14, 276.42685790361185];[3, 330.25970050005617];[5, 337.33946553351444];[0, 342.86067305682997];[6, 349.610757059318];[15, 357.9175261430919];[18, 364.3891797249139];[16, 373.0112501515592];[9, 391.97743734893726];[8, 424.3601410470849];[7, 455.8813485704004],
[2, 0];[17, 29.6774565672537];[4, 80.70429823316667];[15, 200.4594661019011];[11, 206.30833378639878];[1, 212.52105647594738];[10, 252.41764722503922];[13, 258.09344400511304];[12, 264.7770720011522];[14, 283.8982202418351];[3, 336.7310628382794];[0, 342.6074133784955];[5, 348.128620901811];[6, 354.7778798349678];[16, 365.591553938345];[18, 372.21362436499027];[9, 390.6114164784544];[8, 422.994120176602];[7, 455.5153276999175],
[4, 0];[17, 5.026841665912969];[5, 147.15119245119934];[11, 152.3348306089518];[1, 158.5475532985004];[2, 164.97889625751972];[10, 245.51817782883342];[13, 251.19397460890724];[12, 257.8776026049464];[14, 273.9987508456293];[3, 328.83159344207354];[0, 334.70794398228963];[18, 341.0880785816844];[6, 348.8168117411125];[15, 357.1235808248863];[16, 367.03665630482897];[9, 389.00284350220704];[8, 422.3855472003546];[7, 454.90675472367013],
