[4, 0];[16, 274.75105040162447];[11, 280.9442021568975];[12, 298.74654533497215];[1, 312.1164650212986];[2, 327.0523707284912];[13, 459.8192541540899];[18, 470.2863273097088];[9, 494.0476675640056];[10, 521.1555318709129];[3, 553.7261947835201];[15, 560.5289704212521];[0, 570.8289966266381];[8, 581.7201734902478];[6, 590.2996287560669];[5, 599.8065678503968];[14, 609.9873281978533];[17, 720645.1190989906];[7, 1440673.396561863],
[1, 0];[15, 188.01039864469809];[11, 198.90295515458598];[4, 232.5648975947704];[17, 237.98156426143706];[13, 278.4962791059813];[2, 289.26316253157995];[12, 324.29438207346135];[0, 431.7804783142247];[16, 438.5482452671911];[5, 445.9991521288332];[9, 527.6125367003403];[10, 538.7204010072477];[18, 546.0670889806358];[14, 561.0796659000101];[8, 574.417931523279];[6, 582.9973867890981];[3, 591.9282122607883];[7, 612.6015705583916],
[2, 0];[11, 137.88652396885988];[4, 198.5484664090443];[17, 203.96513307571095];[13, 278.4798479202551];[1, 292.12766395797365];[12, 322.4975836443001];[0, 443.98367988506345];[16, 450.75144683802984];[5, 458.20235369967196];[18, 476.2817055354643];[9, 495.04304578976115];[10, 521.1509100966684];[15, 534.0200657763529];[3, 548.8228414140849];[6, 557.7536668857751];[8, 569.3331221515942];[14, 580.6713877748631];[7, 611.6515183053205],
[1, 0];[11, 133.41831666994986];[17, 166.81065718636378];[4, 174.22732385303044];[13, 278.0652750978154];[2, 288.8321585234141];[12, 323.8633780652955];[0, 434.3494743060588];[16, 441.1172412590252];[15, 452.455506882294];[6, 459.5849956054908];[5, 469.0919346998208];[18, 487.17128653561315];[9, 499.93262678991];[10, 521.0404910968173];[14, 545.2094096045912];[8, 562.54767522786];[3, 574.7452828550897];[7, 608.418641152693],
[2, 0];[15, 196.56293167362364];[17, 226.41275841122663];[4, 231.8294250778933];[12, 268.78917141303725];[11, 278.5915145911119];[1, 292.0098312610617];[13, 326.65764729878026];[0, 415.99683679199404];[16, 422.7646037449604];[6, 433.41285814590395];[5, 442.91979724023395];[18, 460.9991490760263];[9, 495.76048933032314];[10, 520.8683536372305];[14, 545.0372721450044];[8, 562.3755377682733];[3, 574.5731453955029];[7, 608.2465036931062],
[1, 0];[11, 133.41831666994986];[4, 205.08025911013428];[17, 210.49692577680094];[13, 278.0116406213451];[2, 288.7785240469438];[12, 323.8097435888252];[0, 434.29583982958854];[5, 442.91388872060395];[16, 450.3647955822461];[15, 461.70306120551487];[6, 468.83254992871167];[9, 505.5834915182434];[18, 513.3448317725403];[10, 524.6915197459284];[3, 552.2621826585356];[14, 564.0434983488531];[8, 577.3817639721219];[7, 607.9998128631373],
[17, 0];[15, 209.849826737603];[1, 217.86022538230108];[4, 248.68145910788266];[12, 277.6412054430266];[11, 287.44354862110123];[13, 316.126502335512];[2, 326.89338576111066];[0, 420.32903513131174];[16, 427.0968020842781];[5, 434.54770894592025];[6, 444.05464804025024];[18, 461.05493738861367];[9, 495.81627764291045];[10, 520.9241419498178];[3, 553.494804862425];[14, 565.2761205527424];[8, 578.6143861760113];[7, 607.2324350670267],
[1, 0];[15, 188.01039864469809];[11, 198.90295515458598];[17, 232.2952956709999];[4, 237.71196233766656];[12, 268.6717086728105];[2, 289.7029282146919];[13, 319.4698116402906];[0, 467.80900113350435];[16, 474.57676808647074];[5, 482.02767494811286];[6, 491.53461404244285];[9, 515.2855556319746];[18, 523.0468958862714];[10, 531.3935838596595];[14, 548.5625023674335];[3, 561.3438180577509];[8, 575.5414256849806];[7, 607.159474575996],
[1, 0];[15, 188.01039864469809];[11, 198.90295515458598];[4, 232.5648975947704];[17, 237.98156426143706];[13, 278.4962791059813];[2, 289.26316253157995];[12, 324.29438207346135];[0, 431.7804783142247];[16, 438.5482452671911];[5, 445.9991521288332];[6, 455.5060912231632];[9, 512.257032812695];[18, 520.0183730669918];[10, 529.3650610403799];[14, 547.5339795481539];[3, 561.3152952384713];[8, 575.5129028657011];[7, 607.1309517567165],
[1, 0];[15, 188.01039864469809];[11, 198.90295515458598];[17, 232.2952956709999];[4, 237.71196233766656];[2, 278.3616857275861];[13, 299.1285691531848];[12, 341.8157534923564];[5, 450.532270679186];[16, 457.98317754082814];[0, 464.7509444937945];[18, 479.3313788379264];[9, 496.09271909222326];[10, 521.2005833991306];[14, 545.3695019069045];[8, 562.7077675301733];[3, 574.9053751574031];[6, 583.8362006290934];[7, 605.8902931824828],
