[4, 0];[1, 20.25022768500341];[6, 244.98732643328714];[11, 250.68659970479786];[13, 257.79338775489305];[12, 265.4770157509322];[5, 2388.0124083828887];[8, 722393.2670686882];[15, 1442399.0546422522];[3, 2162404.3143458255];[2, 2882410.8000825373];[18, 3602416.016502182];[16, 4322422.638572609];[0, 5042427.893232915];[14, 5762433.121008016];[9, 6482439.6281247195];[10, 7202445.363951511];[17, 7922472.647478062];[7, 8642490.664560854],
[2, 0];[1, 6.43134295901934];[3, 304.61141498783087];[11, 310.65161566117706];[0, 577.0046874779803];[5, 582.5258950012958];[15, 588.384385237972];[16, 594.2974607179146];[10, 600.654056452514];[14, 606.5427361895283];[9, 613.0498528927673];[6, 620.1748384758931];[13, 720626.5653759857];[18, 1440632.3529495494];[12, 2160639.494149927];[8, 2880644.775431428];[17, 3600665.0154099204];[4, 4320670.354956994];[7, 5040688.3720397875],
[2, 0];[1, 6.43134295901934];[3, 304.61141498783087];[11, 310.65161566117706];[13, 372.75840371127225];[0, 379.527554658674];[18, 387.90768925806873];[6, 395.6364224174968];[5, 405.2856813506536];[16, 413.6387531674568];[15, 426.5518286473995];[9, 592.4212658025492];[14, 598.9283825057881];[10, 604.8170622428024];[17, 720632.1005887939];[4, 1440637.4401358678];[12, 2160656.200485508];[8, 2880661.481767009];[7, 3600667.0029745325],
[2, 0];[1, 6.43134295901934];[8, 249.64762550756444];[4, 270.32780584949785];[11, 293.61126072603093];[13, 322.7180487761261];[18, 549.5056223399608];[6, 556.2343554993889];[9, 563.3593410825148];[10, 569.0951678734258];[5, 575.684387836796];[0, 581.2055953601115];[15, 586.9691045373579];[3, 592.2288081106207];[16, 598.3004678420239];[14, 603.770038243359];[12, 720609.891186484];[17, 1440628.1791300587];[7, 2160646.196212852],
[4, 0];[1, 20.25022768500341];[2, 32.68157064402275];[10, 245.22085221533646];[11, 251.66826496494647];[17, 274.6684578651474];[12, 297.95640143984866];[13, 333.64002943588775];[5, 488.92504801707616];[0, 494.4462555403917];[16, 499.700915845741];[15, 505.6139913256837];[18, 512.0856449075058];[9, 518.4834370209699];[6, 525.6084226040957];[14, 540.4680871318253];[3, 551.3009297282696];[8, 561.3377999746892];[7, 609.8590074980048],
[4, 0];[1, 20.25022768500341];[11, 125.46295037455201];[17, 148.46314327475295];[13, 267.99223283545535];[12, 277.6758608314945];[2, 323.98528021327814];[18, 533.2016998576637];[10, 538.5397581491482];[9, 544.2755849400592];[0, 551.0104761171482];[5, 556.5316836404637];[14, 562.2780116617059];[6, 568.1376761894355];[16, 573.9513502928128];[3, 580.023010024216];[8, 586.0598802706356];[15, 591.8474538344703];[7, 608.2696748523591],
[17, 0];[1, 21.083549221348985];[11, 125.29627191089759];[4, 218.5797267874307];[13, 267.745943809446];[12, 277.4295718054851];[2, 324.73899118726877];[18, 523.9554108316544];[10, 530.2934691231388];[9, 536.0292959140498];[16, 542.9954831114279];[6, 548.8091572148052];[14, 555.6688217425348];[5, 561.415149763777];[0, 566.9363572870925];[15, 572.6998664643389];[8, 579.4874400281736];[3, 585.5243102745933];[7, 606.1975431626033],
[17, 0];[1, 21.083549221348985];[11, 125.29627191089759];[4, 218.5797267874307];[13, 267.745943809446];[12, 277.4295718054851];[2, 324.73899118726877];[18, 523.9554108316544];[10, 530.2934691231388];[9, 536.0292959140498];[16, 542.9954831114279];[6, 548.8091572148052];[14, 555.6688217425348];[5, 561.415149763777];[0, 566.9363572870925];[15, 572.6998664643389];[3, 577.9595700376017];[8, 584.9964402840213];[7, 605.5176478073369],
[17, 0];[1, 21.083549221348985];[11, 125.29627191089759];[4, 218.5797267874307];[13, 267.745943809446];[12, 277.4295718054851];[2, 324.73899118726877];[18, 523.9554108316544];[10, 530.2934691231388];[9, 536.0292959140498];[0, 542.7641870911389];[15, 548.5276962683853];[6, 553.8344653521591];[16, 559.6481394555364];[14, 565.1177098568714];[5, 570.8640378781137];[3, 576.943802911572];[8, 583.9806731579916];[7, 605.5018806813072],
[17, 0];[1, 21.083549221348985];[11, 125.29627191089759];[4, 218.5797267874307];[13, 267.745943809446];[12, 277.4295718054851];[2, 324.73899118726877];[18, 523.9554108316544];[10, 530.2934691231388];[9, 536.0292959140498];[0, 542.7641870911389];[5, 548.2853946144544];[14, 555.0317226356966];[6, 560.8913871634262];[16, 566.7050612668035];[3, 572.7767209982067];[15, 578.0364245714694];[8, 584.8239981353041];[7, 605.3452056586196],
[17, 0];[1, 21.083549221348985];[11, 125.29627191089759];[4, 218.5797267874307];[13, 267.745943809446];[12, 277.4295718054851];[2, 324.73899118726877];[18, 523.9554108316544];[10, 530.2934691231388];[9, 536.0292959140498];[0, 542.7641870911389];[5, 548.2853946144544];[14, 555.0317226356966];[16, 560.5012930370317];[3, 567.5729527684349];[15, 572.8326563416977];[8, 579.6202299055324];[6, 585.1358777229373];[7, 605.2877277906524],
