[4, 0];[17, 5.026841665912969];[0, 202.17219089646295];[11, 207.52526271326613];[2, 214.3816647255869];[1, 220.81300768460622];[14, 246.7675215564854];[13, 252.33021263188795];[12, 259.0138406279271];[10, 300.82755922070135];[18, 313.1656175121858];[15, 334.6372710940078];[6, 342.94404017778163];[5, 348.5932991109384];[16, 361.9463709277416];[9, 385.9125581251197];[8, 421.2952618232673];[3, 454.33213206968696];[7, 473.00536495769705],
[1, 0];[17, 20.25712179100299];[2, 86.93457835825669];[4, 122.79840907621089];[11, 145.14239789189446];[18, 225.87325554497667];[12, 247.01445592272927];[13, 253.6980839187684];[14, 267.26077499417096];[3, 324.0936175906153];[5, 332.17338262407355];[0, 337.6945901473891];[6, 345.44467414987713];[16, 361.2583482532543];[15, 368.171423733197];[10, 421.3050355958166];[9, 429.0408623867276];[8, 445.42356608487523];[7, 467.94477360819076],
[17, 0];[1, 79.25712179100299];[2, 92.68846475002232];[4, 126.55229546797652];[11, 148.8962842836601];[15, 214.74515196815776];[16, 247.65822744810043];[12, 253.51789197583];[13, 260.2015199718691];[14, 276.76421104727166];[3, 330.597053643716];[0, 336.4734041839321];[18, 342.8535387833268];[5, 349.7377191198155];[6, 355.38697805297227];[9, 383.5119636360981];[8, 420.8946673342457];[10, 436.58410597049505];[7, 463.12072061635337],
[1, 0];[17, 20.25712179100299];[2, 86.93457835825669];[4, 122.79840907621089];[11, 145.14239789189446];[10, 245.58981064150447];[13, 251.2656074215783];[12, 257.94923541761744];[14, 274.07038365830033];[3, 327.9032262547446];[0, 333.7795767949607];[5, 340.3007843182762];[6, 347.950043251433];[18, 354.6787764108611];[16, 366.30084683750636];[15, 373.21392231744903];[9, 392.0833594725988];[8, 423.46606317074634];[7, 455.98727069406186],
[4, 0];[17, 5.026841665912969];[2, 73.70429823316667];[1, 84.135641192186];[11, 125.3483638817346];[15, 199.19723156623226];[10, 249.3308434288519];[13, 255.00664020892572];[12, 261.69026820496487];[14, 278.81141644564775];[3, 332.644259042092];[0, 338.5206095823081];[5, 345.04181710562364];[18, 351.9259974421123];[6, 358.6547306015404];[16, 368.4684047049176];[9, 389.43459190229567];[8, 422.81729560044323];[7, 455.33850312375876],
