[2, 0];[17, 29.6774565672537];[1, 91.93457835825669];[11, 126.14730104780529];[4, 148.49128986348887];[14, 263.27427118822845];[13, 268.836962263631];[12, 275.52059025967014];[18, 304.66179063742277];[5, 316.54597097391144];[0, 323.06717849722696];[15, 338.83068767447344];[6, 346.1374567582473];[9, 379.2624423413731];[16, 386.2286295387512];[10, 423.5852252733506];[8, 440.27466390959995];[3, 460.3115341560196];[7, 477.9847670440297],
[17, 0];[1, 79.25712179100299];[2, 92.68846475002232];[4, 126.55229546797652];[11, 148.8962842836601];[14, 245.47712319858942];[12, 251.5982714392723];[13, 258.28189943531146];[16, 298.2411574785755];[0, 308.4958177839248];[6, 331.24590178641284];[5, 337.8951607195696];[8, 406.1498210249189];[15, 411.93739458875353];[18, 418.40904817057555];[9, 425.80684028403965];[10, 438.54266707495066];[3, 459.4892211559985];[7, 477.1624540440086],
[17, 0];[4, 65.02684166591297];[1, 92.49346081374229];[2, 101.92480377276163];[11, 126.78120578508239];[8, 253.20120232012528];[13, 259.6728559019473];[12, 266.35648389798644];[14, 285.4776321386693];[0, 302.7054072402421];[5, 313.2266147635576];[18, 323.1107951000463];[6, 336.8395282594744];[15, 348.1462973432482];[16, 363.05937282319087];[9, 387.02556002056895];[10, 422.76138681147995];[3, 454.7079408925278];[7, 473.3811737805379],
[17, 0];[2, 68.6774565672537];[1, 81.10879952627303];[4, 109.57541867410235];[11, 141.91940748978593];[10, 246.36682023939593];[12, 253.18053883217019];[13, 259.8641668282093];[3, 320.05693920260296];[5, 328.13670423606123];[0, 333.65791175937676];[6, 342.4079957618648];[18, 349.1367289212929];[16, 363.7587993479382];[15, 370.67187482788086];[9, 390.5413119830306];[14, 439.04842868626946];[8, 450.96150416621214];[7, 471.48271168952766],
[2, 0];[17, 29.6774565672537];[1, 91.93457835825669];[4, 116.401197506086];[11, 141.74518632176958];[16, 244.91706892757122];[12, 250.77673345530079];[13, 257.4603614513399];[14, 273.02305252674245];[3, 326.85589512318677];[18, 334.13720739825294];[0, 340.5173419976477];[6, 348.26742600013574];[5, 353.9166849332925];[15, 361.7751751699687];[9, 385.64461232511843];[10, 422.38043911602944];[8, 440.0698777522788];[7, 464.5910852755943],
[4, 0];[17, 5.026841665912969];[2, 73.70429823316667];[1, 84.135641192186];[11, 125.3483638817346];[15, 199.19723156623226];[16, 245.11030704617494];[13, 251.06956508943895];[12, 257.7531930854781];[14, 273.87434132616096];[3, 328.7071839226053];[0, 334.5835344628214];[5, 341.1047419861369];[6, 347.7540009192937];[18, 354.48273407872176];[9, 380.88052619218587];[8, 419.2632298903335];[10, 435.95266852658284];[7, 463.48928317244116],
[4, 0];[17, 5.026841665912969];[11, 141.10212346847513];[1, 147.31484615802373];[2, 153.74618911704306];[10, 245.28547068835678];[13, 250.9612674684306];[12, 257.64489546446976];[14, 273.76604370515264];[3, 328.59888630159696];[0, 334.47523684181306];[6, 343.2253208443011];[5, 348.8745797774579];[18, 355.75876011394655];[15, 364.23041369576856];[16, 372.14348917571124];[9, 392.1096763730893];[8, 423.4923800712369];[7, 456.0135875945524],
[4, 0];[17, 5.026841665912969];[2, 73.70429823316667];[1, 84.135641192186];[11, 125.3483638817346];[10, 245.7957766313446];[13, 251.47157341141843];[12, 258.1552014074576];[14, 274.27634964814047];[3, 328.10919224458473];[0, 333.9855427848008];[18, 341.3656773841956];[5, 349.24985772068425];[6, 354.899116653841];[15, 362.2058857376149];[16, 371.11896121755757];[9, 391.08514841493565];[8, 423.46785211308327];[7, 455.9890596363988],
[17, 0];[4, 65.02684166591297];[1, 92.49346081374229];[11, 125.70618350329089];[2, 132.56258551561163];[10, 245.10186708692532];[13, 250.77766386699915];[12, 257.4612918630383];[14, 273.5824401037212];[3, 328.41528270016545];[6, 338.9815480742385];[18, 345.7102812336666];[5, 352.59446157015526];[0, 358.1156690934708];[15, 365.87917827071726];[16, 373.79225375065994];[9, 392.758440948038];[8, 424.1411446461856];[7, 455.6623521695011],
